Kingdom,Phylum,Class,Order,Family,Species,Library?,Source,Source 2,Notes,Selected,TE_count,MCH_Parameters
Fungi,Basidiomycota,Agaricomycetes,Hysterangiales,Hysterangiaceae,Hysterangium stoloniferum,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,172,"x=10, e=500, c=1"
Animalia,Chordata,Mammalia,Rodentia,Hystricidae,Hystrix cristata,Complete,Dfam,,Curated Dfam,Dfam,29,
Animalia,Chordata,Actinopteri,Siluriformes,Ictaluridae,Ictalurus punctatus,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,108,"x=10, e=500, c=1"
Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ictidomys tridecemlineatus,Complete,Dfam,,,Dfam,44,
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Ilyonectria europaea,Complete,RM2+MCH,,B-GUT,RM2+MCH,30,"x=0, e=500, c=1"
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Ilyonectria robusta,Complete,RM2+MCH,,B-GUT,RM2+MCH,28,"x=0, e=500, c=1"
Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Imleria badia,Complete,RM2+MCH,,B-GUT,RM2+MCH,1,"x=0, e=500, c=1"
Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Immersiella caudata,Complete,RM2+MCH,,B-GUT,RM2+MCH,1,"x=0, e=500, c=1"
Plantae,Angiosperma,,Ericales ,Balsaminaceae,Impatiens glandulifera,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,323,"x=10, e=500, c=1"
Animalia,Chordata,Aves,Piciformes,Indicatoridae,Indicator indicator,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,93,"x=10, e=500, c=1"
Animalia,Chordata,Aves,Piciformes,Indicatoridae,Indicator maculatus,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,90,"x=10, e=500, c=1"
Animalia,Chordata,Mammalia,Primates,Indriidae,Indri indri,Complete,Dfam,,Curated Dfam,Dfam,25,
Fungi,Basidiomycota,Agaricomycetes,Agaricales,,Infundibulicybe gibba,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,55,"x=10, e=500, c=1"
Animalia,Chordata,Mammalia,Artiodactyla,Iniidae,Inia geoffrensis,Complete,Dfam,,Curated Dfam,Dfam,29,
Fungi,Basidiomycota,Agaricomycetes,,,Intextomyces contiguus,Complete,RM2+MCH,,B-GUT,RM2+MCH,4,"x=0, e=500, c=1"
Plantae,Angiosperma,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea triloba,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,141,"x=10, e=500, c=1"
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Irpicaceae,Irpex flavus,Complete,RM2+MCH,,B-GUT,RM2+MCH,5,"x=0, e=500, c=1"
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Irpicaceae,Irpex lacteus,Complete,RM2+MCH,,B-GUT,RM2+MCH,11,"x=0, e=500, c=1"
Fungi,Basidiomycota,Agaricomycetes,Polyporales,Irpicaceae,Irpex rosettiformis,Complete,RM2+MCH,,B-GUT,RM2+MCH,2,"x=0, e=500, c=1"
Plantae,Angiosperma,Magnoliopsida,Brassicales,Brassicaceae,Isatis tinctoria,Complete,RM2+MCH,,"ENSEMBL ""2025""",RM2+MCH,304,"x=10, e=500, c=1"
